sale_id,customer_id,fecha_venta,canal,categoria,cantidad,precio_unitario,descuento,estado_pago,region,ingestion_ts,source_system,importe_bruto,importe_neto,nombre,segmento,region_cliente
80,9,2024-05-02,web,electronica,4,180.24,0.0,pagado,Occidente,2026-03-23 00:14:35,erp_ventas,720.96,720.96,Cliente_009,pyme,Centro
81,5,2024-02-08,tienda,moda,1,294.86,0.0,pagado,Sur,2026-03-23 00:14:35,erp_ventas,294.86,294.86,Cliente_005,pyme,Norte
82,20,2024-06-01,tienda,hogar,1,285.67,0.15,pendiente,Occidente,2026-03-23 00:14:35,erp_ventas,285.67,242.8195,Cliente_020,corporativo,Norte
83,19,2024-04-19,app,electronica,4,455.62,0.1,pendiente,Norte,2026-03-23 00:14:35,erp_ventas,1822.48,1640.232,Cliente_019,pyme,Centro
84,3,2024-02-10,web,hogar,2,318.37,0.1,pendiente,Norte,2026-03-23 00:14:35,erp_ventas,636.74,573.066,Cliente_003,retail,Norte
85,20,2024-04-30,app,electronica,2,16.3,0.15,pagado,Centro,2026-03-23 00:14:35,erp_ventas,32.6,27.71,Cliente_020,corporativo,Norte
86,3,2024-06-24,web,moda,6,152.12,0.15,pendiente,Sur,2026-03-23 00:14:35,erp_ventas,912.72,775.812,Cliente_003,retail,Norte
87,5,2024-03-09,web,electronica,4,70.67,0.05,pagado,Sur,2026-03-23 00:14:35,erp_ventas,282.68,268.546,Cliente_005,pyme,Norte
88,15,2024-02-01,app,moda,3,303.6,0.1,pendiente,Occidente,2026-03-23 00:14:35,erp_ventas,910.8000000000001,819.72,Cliente_015,corporativo,Norte
89,15,2024-01-21,tienda,electronica,3,257.73,0.15,pagado,Centro,2026-03-23 00:14:35,erp_ventas,773.19,657.2115,Cliente_015,corporativo,Norte
90,8,2024-06-21,tienda,electronica,5,136.43,0.0,pendiente,Sin region,2026-03-23 00:14:35,erp_ventas,682.1500000000001,682.1500000000001,Cliente_008,pyme,Occidente
91,16,2024-05-12,tienda,supermercado,3,294.48,0.05,pagado,Sur,2026-03-23 00:14:35,erp_ventas,883.44,839.268,Cliente_016,retail,Centro
92,3,2024-04-30,app,supermercado,5,226.4,0.15,pagado,Centro,2026-03-23 00:14:35,erp_ventas,1132.0,962.1999999999999,Cliente_003,retail,Norte
93,11,2024-04-15,tienda,supermercado,6,65.73,0.05,pagado,Occidente,2026-03-23 00:14:35,erp_ventas,394.38,374.661,Cliente_011,pyme,Sur
94,11,2024-03-05,app,electronica,5,32.8,0.0,pagado,Norte,2026-03-23 00:14:35,erp_ventas,164.0,164.0,Cliente_011,pyme,Sur
95,14,2024-01-14,web,moda,6,436.64,0.15,pendiente,Occidente,2026-03-23 00:14:35,erp_ventas,2619.84,2226.864,Cliente_014,pyme,Centro
96,7,2024-03-09,tienda,hogar,6,229.39,0.0,pagado,Occidente,2026-03-23 00:14:35,erp_ventas,1376.34,1376.34,Cliente_007,retail,Norte
97,20,2024-03-02,tienda,hogar,6,250.09,0.0,pagado,Norte,2026-03-23 00:14:35,erp_ventas,1500.54,1500.54,Cliente_020,corporativo,Norte
98,4,2024-04-28,web,hogar,5,212.88,0.05,pagado,Centro,2026-03-23 00:14:35,erp_ventas,1064.4,1011.1800000000001,Cliente_004,retail,Norte
99,16,2024-04-30,web,supermercado,5,357.12,0.15,pendiente,Sur,2026-03-23 00:14:35,erp_ventas,1785.6,1517.76,Cliente_016,retail,Centro
100,3,2024-03-11,app,moda,4,107.45,0.05,pendiente,Centro,2026-03-23 00:14:35,erp_ventas,429.8,408.31,Cliente_003,retail,Norte
