edad,antiguedad_meses,gasto_mensual,soporte_llamadas,tipo_contrato,region,churn
48,57,51358,1,bienal,sur,0
32,16,18073,1,anual,sur,0
69,59,61937,4,bienal,centro,0
54,58,34376,2,anual,centro,0
56,35,112007,0,bienal,centro,0
28,48,62612,7,mensual,sur,1
65,24,25297,7,anual,sur,1
75,38,110855,4,mensual,norte,0
27,12,70744,6,anual,centro,1
62,56,20727,2,anual,centro,0
35,32,90413,4,bienal,sur,0
64,16,118396,7,anual,centro,0
59,36,101195,0,bienal,sur,0
72,45,36944,3,anual,centro,0
34,4,28730,7,mensual,norte,1
75,46,32157,2,bienal,norte,0
36,28,106321,5,anual,sur,0
37,52,51161,8,anual,sur,1
60,50,76995,3,bienal,sur,0
60,45,103626,5,mensual,norte,0
37,9,17164,4,anual,norte,0
72,48,80787,2,bienal,norte,0
38,14,18034,0,bienal,norte,0
47,56,116169,6,anual,sur,0
47,46,58654,4,anual,norte,0
56,48,23289,4,bienal,sur,0
28,55,78606,4,bienal,centro,0
54,43,61474,7,anual,centro,1
27,13,93612,7,anual,sur,1
28,47,89423,6,mensual,norte,0
26,50,110504,4,bienal,norte,0
68,13,56861,2,bienal,centro,0
66,60,11887,3,anual,norte,0
60,15,82795,8,anual,sur,1
32,36,116016,0,anual,centro,0
74,29,102097,2,mensual,centro,0
18,47,94451,4,mensual,sur,0
35,8,9162,1,mensual,sur,0
42,50,110333,7,bienal,centro,1
24,54,46230,6,mensual,sur,1
28,44,111595,0,anual,sur,0
49,50,27786,3,bienal,norte,0
41,53,41102,1,anual,centro,0
18,37,21259,8,mensual,centro,0
45,10,107622,4,anual,sur,0
20,15,99223,1,anual,centro,0
23,10,33845,6,bienal,norte,1
34,27,43327,3,bienal,sur,1
30,4,44099,5,anual,norte,1
27,45,32864,7,anual,norte,0
24,25,109815,6,mensual,centro,0
67,45,69217,1,mensual,sur,1
49,37,99670,1,anual,norte,0
29,16,65041,4,anual,centro,1
19,31,115942,2,mensual,sur,0
26,40,15493,0,anual,sur,0
58,51,19638,1,mensual,norte,1
32,58,22808,4,anual,sur,0
63,4,109531,4,anual,sur,0
44,16,114672,3,bienal,norte,0
34,37,37064,1,bienal,centro,0
42,57,61581,5,anual,sur,0
48,57,65962,8,mensual,centro,0
71,10,89839,7,bienal,norte,0
33,4,86052,8,anual,sur,1
66,14,86762,6,mensual,sur,1
58,59,36907,7,anual,centro,0
34,33,76775,3,mensual,centro,0
70,42,44107,1,bienal,sur,0
50,10,54818,8,bienal,norte,1
49,28,79324,4,bienal,centro,0
27,56,38257,8,anual,norte,0
30,52,45827,2,mensual,centro,0
52,17,85725,2,bienal,sur,0
63,7,67997,7,anual,centro,0
48,48,15460,6,bienal,sur,1
30,8,24928,4,mensual,norte,0
25,19,95236,4,mensual,sur,0
58,12,44244,0,mensual,centro,0
54,1,67706,7,anual,centro,1
52,25,111250,7,bienal,centro,0
49,32,98632,0,bienal,sur,1
31,6,95525,4,anual,sur,0
59,44,87360,8,anual,centro,1
44,23,115326,4,bienal,sur,0
51,47,15822,0,mensual,centro,0
57,15,85644,8,mensual,sur,1
61,23,98722,3,bienal,norte,0
27,28,20654,0,anual,centro,0
66,11,67106,7,bienal,norte,0
62,37,73910,8,bienal,centro,1
51,11,88221,1,anual,sur,0
52,4,66811,4,anual,sur,0
38,49,86962,3,mensual,sur,0
60,32,48496,6,mensual,centro,1
26,5,9293,0,anual,norte,1
38,25,106557,3,anual,sur,0
31,13,16464,6,anual,centro,0
68,24,71829,4,bienal,centro,0
40,28,91947,6,mensual,norte,0
24,35,36120,1,anual,norte,0
27,48,77820,3,bienal,norte,0
23,40,111830,2,bienal,norte,0
67,6,63091,4,bienal,sur,0
55,21,87098,7,bienal,centro,1
45,10,92609,6,bienal,sur,1
22,27,59543,6,bienal,sur,0
29,5,73288,4,mensual,sur,0
18,50,81267,4,bienal,norte,0
43,50,37302,6,mensual,norte,1
61,5,16353,4,bienal,centro,1
42,50,75346,5,anual,sur,0
32,38,103776,5,anual,norte,1
42,57,30593,1,bienal,centro,0
68,48,19663,7,anual,centro,0
75,25,108627,4,bienal,sur,0
64,57,23968,8,anual,norte,1
24,29,106180,1,anual,centro,0
18,25,62478,4,bienal,norte,0
32,47,80018,0,anual,centro,0
54,28,82523,6,anual,sur,0
64,30,37856,3,anual,norte,0
73,22,8876,4,anual,sur,0
45,18,85029,8,bienal,centro,0
47,56,48457,1,mensual,norte,0
30,49,75606,4,anual,norte,0
30,35,36738,8,mensual,norte,0
48,39,16672,8,mensual,sur,0
33,26,42333,6,bienal,centro,1
64,30,78403,6,bienal,sur,0
35,8,111584,3,anual,norte,0
48,17,33222,5,mensual,norte,1
52,59,118703,1,bienal,norte,0
41,10,54283,4,mensual,centro,0
65,2,68480,6,anual,centro,1
56,42,42343,4,bienal,centro,1
71,3,15578,6,anual,centro,1
33,42,75746,6,anual,sur,1
55,44,42237,1,mensual,norte,0
36,17,106925,1,mensual,norte,0
19,47,65568,7,anual,sur,0
71,47,11640,2,mensual,sur,1
44,14,104623,0,bienal,norte,0
28,25,107562,0,bienal,centro,0
44,24,105046,1,mensual,norte,0
46,60,88423,0,bienal,norte,0
37,7,42549,0,mensual,centro,0
50,14,69074,5,mensual,norte,0
67,54,86560,6,anual,sur,0
54,24,46637,6,bienal,sur,1
56,25,84851,1,mensual,norte,0
36,56,106681,2,anual,sur,0
18,21,23758,7,bienal,norte,0
54,48,72643,4,bienal,norte,0
57,21,93906,2,mensual,norte,0
30,19,57451,8,bienal,centro,1
54,7,31715,4,anual,norte,0
28,47,67048,0,mensual,centro,0
64,41,18882,2,bienal,norte,0
50,38,36853,0,mensual,centro,0
40,36,113605,3,mensual,norte,1
35,55,38898,5,mensual,sur,1
73,32,64900,5,bienal,norte,0
75,12,64362,2,anual,sur,0
56,13,10126,2,mensual,norte,0
61,22,10908,5,bienal,sur,1
44,53,59417,0,anual,centro,1
57,47,16559,1,bienal,centro,0
20,51,93224,1,anual,sur,0
32,36,110216,2,bienal,centro,0
61,5,80377,8,mensual,sur,0
72,20,95974,5,mensual,sur,1
24,49,50434,8,mensual,sur,1
56,4,9315,5,bienal,sur,1
22,46,93554,4,anual,sur,0
64,47,29283,1,mensual,centro,1
50,30,78409,3,mensual,centro,0
61,26,107240,1,anual,sur,0
25,59,110053,4,mensual,sur,0
57,57,102721,6,mensual,sur,0
46,53,117790,2,bienal,centro,1
75,21,41058,3,anual,sur,0
30,34,67776,5,anual,centro,1
61,51,55705,2,anual,norte,0
65,7,51199,8,anual,centro,0
43,16,90398,2,bienal,norte,0
68,54,69031,4,anual,norte,1
73,23,106618,0,mensual,norte,0
48,25,47470,7,bienal,sur,1
67,44,71781,8,anual,norte,0
25,55,54102,4,mensual,norte,0
61,8,28547,7,anual,sur,1
43,21,63419,4,anual,sur,0
34,18,49192,6,mensual,norte,1
53,11,56153,7,bienal,sur,0
56,27,110787,2,bienal,sur,1
27,35,22077,6,anual,centro,1
47,34,43919,4,anual,norte,0
20,59,30207,1,mensual,centro,1
22,12,96187,0,bienal,sur,0
27,2,13435,1,anual,centro,0
61,34,111664,8,bienal,sur,1
70,38,23956,3,mensual,sur,0
24,24,109459,4,anual,sur,0
59,43,63929,7,anual,norte,1
30,20,64063,6,anual,sur,1
23,14,39478,8,anual,norte,0
64,31,28666,0,mensual,centro,1
38,16,83002,1,anual,norte,0
42,37,114505,3,bienal,sur,0
29,54,97672,5,anual,centro,1
35,45,40776,4,mensual,centro,0
23,56,83486,8,bienal,centro,0
20,55,83791,2,bienal,sur,0
20,41,62520,6,mensual,norte,1
37,12,95506,7,anual,sur,1
73,45,117193,2,bienal,norte,0
27,20,112880,2,bienal,norte,0
18,47,13701,1,anual,norte,0
18,13,68326,2,bienal,centro,0
29,18,18606,8,bienal,centro,0
59,19,9517,5,mensual,norte,1
21,42,28388,8,anual,norte,1
18,46,75328,1,anual,norte,1
73,37,60435,2,mensual,centro,0
46,51,51803,0,bienal,centro,0
29,35,49724,7,bienal,sur,0
34,18,61694,6,mensual,norte,1
27,40,43921,5,bienal,norte,0
62,49,27382,2,mensual,centro,0
69,45,97863,2,anual,norte,0
56,10,14492,6,mensual,norte,0
67,29,24291,6,bienal,norte,1
67,22,40461,1,bienal,sur,0
29,44,86076,1,bienal,sur,0
74,59,42153,0,anual,norte,0
52,36,16943,2,anual,centro,1
45,1,8550,7,mensual,sur,1
21,3,53328,8,anual,sur,1
74,49,34914,2,bienal,centro,0
72,2,77353,3,bienal,norte,0
29,28,79886,0,bienal,norte,0
40,21,94073,5,anual,norte,1
58,55,114905,5,mensual,sur,1
29,49,47858,3,bienal,centro,0
58,52,106613,3,anual,centro,0
51,47,60632,0,mensual,norte,0
46,54,69106,5,mensual,centro,0
58,55,25954,2,mensual,norte,0
33,57,85695,3,anual,sur,0
72,22,67815,4,bienal,sur,0
42,36,77292,1,mensual,centro,1
36,49,53101,3,anual,centro,0
44,26,91938,6,anual,centro,1
68,1,100463,7,mensual,centro,0
44,19,83030,3,mensual,sur,1
50,43,113980,2,bienal,sur,1
55,8,47145,5,bienal,centro,0
69,15,62531,2,anual,sur,0
58,17,119212,1,anual,centro,0
27,53,19596,0,anual,sur,1
72,55,34848,6,mensual,norte,0
62,46,87744,0,bienal,centro,0
46,10,16337,5,bienal,centro,0
59,53,102240,6,anual,norte,0
53,52,51085,7,bienal,norte,1
43,2,107758,0,anual,centro,1
69,32,107606,2,bienal,norte,0
25,43,13022,3,bienal,centro,1
52,59,62817,4,anual,centro,0
49,39,99529,7,mensual,sur,1
59,55,117836,3,mensual,norte,1
57,57,73123,7,mensual,sur,1
19,2,82433,4,mensual,norte,1
41,26,53205,4,mensual,centro,1
24,24,87072,2,mensual,norte,1
30,4,47352,0,bienal,centro,0
33,18,26466,5,bienal,sur,1
29,56,84511,2,bienal,norte,0
50,44,64717,4,bienal,centro,1
68,13,78529,3,bienal,centro,0
38,3,39032,2,mensual,centro,1
31,57,38312,1,anual,norte,0
40,34,80405,3,bienal,centro,0
21,2,58628,0,anual,norte,0
53,6,61939,7,anual,norte,0
74,18,41274,1,anual,centro,0
72,21,81026,0,bienal,centro,0
75,29,92232,4,anual,centro,0
58,38,77343,6,anual,centro,0
43,23,56401,6,bienal,sur,0
47,17,39076,8,bienal,centro,1
68,57,26331,3,anual,centro,0
67,16,22272,7,bienal,sur,0
45,8,90687,6,bienal,norte,0
34,13,38642,6,mensual,sur,0
23,40,99891,7,mensual,sur,0
57,16,51171,5,anual,norte,0
35,33,99626,7,bienal,sur,1
66,25,97685,7,mensual,norte,1
66,58,13486,8,mensual,sur,0
29,17,109912,3,mensual,norte,0
44,45,30851,2,mensual,centro,0
66,14,93767,4,mensual,centro,1
36,55,37854,5,anual,centro,1
26,13,52670,2,bienal,norte,0
65,38,26435,0,anual,centro,0
36,31,100671,4,mensual,centro,0
62,14,11640,5,bienal,norte,1
73,36,21228,2,mensual,sur,0
69,3,38401,0,anual,sur,0
33,32,62151,1,anual,norte,0
49,24,74585,5,bienal,sur,0
33,34,117269,1,bienal,centro,0
51,51,19707,7,bienal,sur,0
29,13,90222,0,mensual,sur,1
20,21,99446,1,mensual,sur,0
40,37,82276,4,anual,centro,0
64,57,38148,0,anual,centro,0
34,18,42852,4,mensual,norte,0
48,6,111781,7,bienal,norte,0
20,32,33918,8,mensual,centro,1
41,54,10242,3,anual,norte,0
22,18,85099,3,mensual,centro,0
49,38,95058,5,bienal,sur,0
45,48,15435,3,bienal,norte,0
35,9,84988,6,mensual,sur,0
37,21,9235,7,bienal,centro,0
42,9,73466,3,bienal,norte,0
38,5,87030,8,bienal,sur,0
34,13,96317,3,bienal,sur,0
74,20,46999,8,bienal,centro,0
72,50,111813,2,anual,sur,0
49,60,64446,4,bienal,norte,1
54,46,78655,0,anual,centro,1
32,54,94425,0,bienal,sur,0
67,38,94044,6,bienal,centro,1
47,33,45167,5,mensual,norte,0
47,28,40795,6,bienal,sur,0
48,21,45298,0,mensual,norte,0
54,17,99537,6,anual,centro,1
46,59,16282,8,bienal,norte,0
62,20,39597,5,mensual,centro,1
73,28,78826,4,mensual,norte,1
28,13,95115,5,anual,sur,0
53,29,26582,2,anual,sur,0
75,32,26475,7,mensual,centro,1
31,2,69736,5,mensual,sur,1
34,34,60057,1,bienal,centro,0
45,47,41624,1,anual,centro,0
70,55,106631,1,mensual,norte,0
63,4,45928,3,anual,sur,0
53,2,20356,5,mensual,centro,1
51,25,48500,6,bienal,norte,0
44,49,55102,8,anual,sur,1
32,10,115674,8,bienal,sur,1
51,4,80066,6,anual,centro,1
70,35,16782,6,bienal,sur,0
38,18,68446,8,bienal,norte,0
23,53,32622,6,mensual,centro,1
21,42,53419,6,mensual,sur,1
47,2,30547,0,anual,sur,0
65,2,55330,0,bienal,centro,0
37,22,18991,5,mensual,sur,0
33,13,74991,5,mensual,sur,0
23,3,110016,2,anual,centro,0
51,25,60640,6,bienal,centro,0
24,52,10139,2,bienal,sur,0
23,10,92427,6,mensual,sur,0
53,54,100682,4,bienal,norte,0
31,20,75387,0,bienal,sur,1
69,52,55357,7,mensual,sur,0
74,46,48620,8,mensual,norte,1
24,20,44382,2,bienal,sur,0
57,22,27566,4,bienal,norte,0
60,35,95567,6,anual,centro,0
51,22,9953,2,anual,norte,0
43,14,68842,5,anual,centro,0
39,27,32150,8,anual,sur,0
68,17,26582,0,mensual,centro,0
51,25,97364,1,anual,norte,0
70,18,45826,7,anual,centro,1
49,25,21002,8,anual,sur,0
49,33,69488,3,bienal,sur,0
25,19,117281,4,anual,sur,0
34,36,112311,0,bienal,norte,0
47,53,49613,7,bienal,sur,1
40,5,99548,2,anual,sur,0
27,35,53685,2,mensual,sur,0
27,24,61328,1,bienal,centro,0
24,38,61022,1,mensual,norte,1
19,31,45290,0,bienal,norte,0
22,11,87977,8,bienal,centro,0
60,54,43122,1,anual,norte,0
34,56,55558,6,bienal,norte,1
33,23,61373,1,anual,centro,0
61,3,99126,2,anual,norte,0
72,52,95620,1,mensual,norte,0
29,17,112938,8,mensual,norte,1
32,42,112470,3,mensual,norte,0
39,11,21755,3,bienal,sur,0
57,57,11928,4,mensual,centro,1
28,59,55593,8,mensual,norte,0
41,18,17550,7,bienal,sur,0
73,37,89416,2,anual,sur,0
74,2,96073,4,anual,sur,0
31,4,80304,2,anual,centro,0
62,20,12127,1,anual,sur,0
20,9,95763,0,mensual,sur,1
40,20,8958,1,anual,norte,0
41,3,88718,4,bienal,sur,1
71,27,45176,5,anual,centro,0
75,2,39193,7,bienal,norte,0
69,42,74906,3,bienal,norte,0
30,14,8653,5,bienal,centro,1
49,13,104488,6,anual,sur,1
22,9,87480,4,bienal,sur,0
49,32,50779,7,mensual,sur,0
74,49,28134,1,bienal,centro,0
27,24,59292,5,bienal,norte,1
59,4,54878,2,anual,centro,0
53,16,52649,6,bienal,centro,0
44,53,92621,0,anual,centro,0
44,60,9693,8,mensual,centro,1
50,39,57971,5,bienal,sur,1
35,16,85148,5,mensual,centro,1
38,14,65271,8,anual,centro,1
44,7,88779,3,mensual,norte,0
20,3,82409,0,anual,norte,0
65,34,39371,0,bienal,sur,0
46,53,23632,3,bienal,sur,0
73,2,13982,0,mensual,sur,1
22,12,58715,5,mensual,norte,0
52,29,118622,2,bienal,centro,0
72,18,68576,5,anual,norte,0
35,40,97970,3,mensual,norte,0
45,49,31100,7,bienal,norte,0
65,14,60946,2,anual,norte,0
31,30,106102,5,bienal,centro,0
62,55,21799,0,mensual,centro,1
72,8,50473,6,bienal,centro,0
49,48,65999,0,mensual,centro,1
61,58,9384,3,bienal,sur,0
62,19,28551,0,bienal,sur,0
20,23,82934,8,mensual,centro,1
40,59,77091,5,bienal,sur,1
29,18,119761,3,bienal,sur,0
70,19,90454,6,bienal,norte,0
22,27,71324,5,mensual,sur,1
54,33,76894,4,bienal,norte,0
29,52,117995,5,anual,norte,0
59,9,29536,2,mensual,centro,1
52,18,39054,0,bienal,sur,0
66,12,15940,5,mensual,norte,1
75,30,86139,2,mensual,norte,0
66,57,45036,7,mensual,norte,0
31,22,49066,1,mensual,norte,0
37,20,90936,6,mensual,sur,0
41,10,9738,2,mensual,norte,0
75,40,9061,8,bienal,norte,0
68,20,46622,4,mensual,sur,0
69,13,58331,6,bienal,norte,1
60,55,75795,3,bienal,norte,0
56,17,26975,1,bienal,sur,0
60,36,53650,4,anual,norte,0
58,2,97970,4,anual,norte,0
72,49,55389,5,bienal,sur,0
64,50,71666,3,mensual,centro,0
36,15,114654,5,anual,centro,1
28,19,44181,0,bienal,norte,0
67,21,40373,7,mensual,norte,1
73,23,107449,3,bienal,centro,0
45,45,14361,1,mensual,sur,1
48,26,116576,8,bienal,centro,0
23,52,84755,4,bienal,norte,0
65,28,100534,4,mensual,sur,0
32,25,79597,0,bienal,sur,0
71,36,12122,7,bienal,sur,1
43,45,108548,6,mensual,norte,0
45,7,12165,2,mensual,centro,1
49,4,12583,3,anual,norte,1
49,2,58204,2,bienal,norte,0
43,33,94854,2,bienal,sur,0
63,55,52949,0,bienal,sur,0
74,3,70179,5,mensual,centro,0
68,45,33838,0,anual,centro,0
37,9,53070,8,bienal,norte,1
41,6,98500,7,anual,centro,1
70,28,118435,1,anual,norte,0
49,5,83629,5,bienal,norte,1
69,20,85095,3,mensual,sur,1
28,38,47568,1,anual,norte,0
61,33,41022,2,mensual,sur,0
32,40,89310,1,anual,sur,0
65,32,100353,4,mensual,centro,0
45,40,11763,2,mensual,sur,1
69,23,82049,0,mensual,norte,0
19,25,17849,7,anual,norte,0
61,50,39161,5,bienal,sur,0
50,38,10604,2,mensual,centro,1
61,16,12842,7,anual,norte,0
39,39,83256,4,anual,sur,0
28,28,72594,5,mensual,sur,1
71,5,20142,8,mensual,norte,1
42,35,22846,3,mensual,centro,0
27,37,68914,0,anual,sur,0
21,37,117241,7,anual,centro,1
69,16,71687,2,bienal,sur,0
22,11,108287,2,mensual,sur,1
39,56,40572,4,mensual,centro,0
